"datefed","species","site","ratID","seedfate"
"8/24/2017","passiflora foetida","anao","pepe","destroyed"
"8/24/2017","passiflora foetida","anao","pepe","destroyed"
"8/24/2017","passiflora foetida","anao","antoinette","destroyed"
"8/24/2017","passiflora foetida","anao","antoinette","destroyed"
"8/24/2017","passiflora foetida","anao","antoinette","destroyed"
"8/24/2017","passiflora foetida","anao","antoinette","destroyed"
"8/24/2017","passiflora foetida","anao","antoinette","destroyed"
"8/24/2017","passiflora foetida","anao","antoinette","destroyed"
"8/24/2017","passiflora foetida","anao","antoinette","destroyed"
"8/24/2017","passiflora foetida","anao","antoinette","destroyed"
"8/24/2017","passiflora foetida","anao","antoinette","destroyed"
"8/24/2017","passiflora foetida","anao","antoinette","destroyed"
"8/24/2017","passiflora foetida","anao","antoinette","destroyed"
"8/24/2017","passiflora foetida","anao","antoinette","destroyed"
"8/24/2017","passiflora foetida","anao","antoinette","destroyed"
"8/24/2017","passiflora foetida","anao","antoinette","destroyed"
"8/24/2017","passiflora foetida","anao","antoinette","destroyed"
"8/24/2017","passiflora foetida","anao","antoinette","destroyed"
"8/24/2017","passiflora foetida","anao","antoinette","destroyed"
"8/24/2017","passiflora foetida","anao","antoinette","destroyed"
"8/24/2017","passiflora foetida","anao","antoinette","destroyed"
"8/24/2017","passiflora foetida","anao","antoinette","destroyed"
"8/24/2017","passiflora foetida","anao","antoinette","destroyed"
"8/24/2017","passiflora foetida","anao","antoinette","destroyed"
"8/24/2017","passiflora foetida","anao","antoinette","destroyed"
"8/24/2017","passiflora foetida","anao","antoinette","destroyed"
"8/24/2017","passiflora foetida","anao","antoinette","destroyed"
"8/24/2017","passiflora foetida","anao","antoinette","destroyed"
"8/24/2017","passiflora foetida","anao","antoinette","destroyed"
"8/24/2017","passiflora foetida","anao","antoinette","destroyed"
"8/24/2017","passiflora foetida","anao","antoinette","destroyed"
"8/24/2017","passiflora foetida","anao","antoinette","destroyed"
"8/24/2017","passiflora foetida","anao","antoinette","destroyed"
"8/24/2017","passiflora foetida","anao","antoinette","destroyed"
"8/24/2017","passiflora foetida","anao","antoinette","destroyed"
"8/24/2017","passiflora foetida","anao","antoinette","destroyed"
"8/24/2017","passiflora foetida","anao","antoinette","destroyed"
"8/24/2017","passiflora foetida","anao","antoinette","destroyed"
"8/24/2017","passiflora foetida","anao","antoinette","destroyed"
"8/24/2017","passiflora foetida","anao","antoinette","destroyed"
"8/24/2017","passiflora foetida","anao","antoinette","destroyed"
"8/24/2017","passiflora foetida","anao","antoinette","destroyed"
"8/24/2017","passiflora foetida","anao","antoinette","destroyed"
"8/24/2017","passiflora foetida","anao","antoinette","destroyed"
"8/24/2017","passiflora foetida","anao","antoinette","destroyed"
"8/24/2017","passiflora foetida","anao","antoinette","destroyed"
"8/24/2017","passiflora foetida","anao","antoinette","destroyed"
"8/24/2017","passiflora foetida","anao","antoinette","destroyed"
"8/24/2017","passiflora foetida","anao","antoinette","destroyed"
"8/24/2017","passiflora foetida","anao","antoinette","destroyed"
"8/24/2017","passiflora foetida","anao","antoinette","destroyed"
"8/24/2017","passiflora foetida","anao","antoinette","destroyed"
"8/24/2017","passiflora foetida","anao","antoinette","destroyed"
"8/24/2017","passiflora foetida","anao","antoinette","destroyed"
"8/24/2017","passiflora foetida","anao","antoinette","destroyed"
"8/24/2017","passiflora foetida","anao","antoinette","destroyed"
"8/24/2017","passiflora foetida","anao","antoinette","destroyed"
"8/24/2017","passiflora foetida","anao","antoinette","destroyed"
"8/24/2017","passiflora foetida","anao","antoinette","destroyed"
"8/29/2017","premna","pagat","pepe","destroyed"
"8/29/2017","premna","pagat","pepe","destroyed"
"8/29/2017","premna","pagat","pepe","destroyed"
"8/29/2017","premna","pagat","pepe","destroyed"
"8/29/2017","premna","pagat","pepe","destroyed"
"8/29/2017","premna","pagat","pepe","destroyed"
"8/29/2017","premna","pagat","claudia","destroyed"
"8/29/2017","premna","pagat","claudia","destroyed"
"8/29/2017","premna","pagat","claudia","destroyed"
"8/29/2017","premna","pagat","claudia","destroyed"
"8/29/2017","premna","pagat","claudia","destroyed"
"8/29/2017","premna","pagat","claudia","destroyed"
"8/29/2017","premna","pagat","antoinette","destroyed"
"8/29/2017","premna","pagat","antoinette","destroyed"
"8/29/2017","premna","pagat","antoinette","destroyed"
"8/29/2017","premna","pagat","antoinette","destroyed"
"8/29/2017","premna","pagat","antoinette","destroyed"
"8/29/2017","premna","pagat","antoinette","destroyed"
"8/29/2017","premna","marbo","gustave","destroyed"
"8/29/2017","premna","marbo","gustave","destroyed"
"8/29/2017","premna","marbo","gustave","destroyed"
"8/29/2017","premna","marbo","gustave","destroyed"
"8/29/2017","premna","marbo","gustave","destroyed"
"8/29/2017","premna","marbo","gustave","destroyed"
"10/16/2017","melanolepis","marbo","antoinette","destroyed"
"10/16/2017","melanolepis","marbo","antoinette","destroyed"
"10/16/2017","melanolepis","marbo","antoinette","destroyed"
"10/16/2017","melanolepis","marbo","antoinette","destroyed"
"10/16/2017","melanolepis","marbo","antoinette","destroyed"
"10/16/2017","melanolepis","marbo","antoinette","destroyed"
"10/23/2017","vitex","foody's","pepe","destroyed"
"10/23/2017","vitex","foody's","pepe","destroyed"
"10/23/2017","vitex","foody's","pepe","destroyed"
"10/23/2017","vitex","foody's","pepe","destroyed"
"10/23/2017","vitex","foody's","pepe","destroyed"
"10/23/2017","vitex","foody's","pepe","destroyed"
"11/13/2017","melanolepis","blas","pepe","destroyed"
"11/13/2017","melanolepis","blas","pepe","destroyed"
"11/13/2017","melanolepis","blas","pepe","destroyed"
"11/13/2017","melanolepis","blas","pepe","destroyed"
"11/13/2017","melanolepis","blas","pepe","destroyed"
"11/13/2017","melanolepis","blas","pepe","destroyed"
"8/11/2017","aidia","anao","francois","destroyed"
"8/11/2017","aidia","anao","francois","destroyed"
"8/11/2017","aidia","anao","francois","destroyed"
"8/11/2017","aidia","anao","francois","destroyed"
"8/11/2017","aidia","anao","francois","destroyed"
"8/11/2017","aidia","anao","francois","destroyed"
"8/11/2017","aidia","anao","francois","destroyed"
"8/11/2017","aidia","anao","francois","destroyed"
"8/11/2017","aidia","anao","francois","destroyed"
"8/11/2017","aidia","anao","francois","destroyed"
"8/11/2017","aidia","anao","francois","destroyed"
"8/11/2017","aidia","anao","francois","destroyed"
"8/11/2017","aidia","anao","francois","destroyed"
"8/11/2017","aidia","anao","francois","destroyed"
"8/11/2017","aidia","anao","francois","destroyed"
"8/11/2017","aidia","anao","francois","destroyed"
"8/11/2017","aidia","anao","francois","destroyed"
"8/11/2017","aidia","anao","francois","destroyed"
"8/11/2017","aidia","anao","francois","destroyed"
"8/11/2017","aidia","anao","francois","destroyed"
"8/11/2017","aidia","anao","francois","destroyed"
"8/11/2017","aidia","anao","francois","destroyed"
"8/11/2017","aidia","anao","francois","destroyed"
"8/11/2017","aidia","anao","francois","destroyed"
"8/11/2017","aidia","anao","francois","destroyed"
"8/11/2017","aidia","anao","francois","destroyed"
"8/11/2017","aidia","anao","francois","destroyed"
"8/11/2017","aidia","anao","francois","destroyed"
"8/11/2017","aidia","anao","francois","destroyed"
"8/11/2017","aidia","anao","francois","destroyed"
"8/11/2017","aidia","anao","francois","destroyed"
"8/11/2017","aidia","anao","francois","destroyed"
"8/11/2017","aidia","anao","francois","destroyed"
"8/11/2017","aidia","anao","francois","destroyed"
"8/11/2017","aidia","anao","francois","destroyed"
"8/11/2017","aidia","anao","francois","destroyed"
